Molecule,Run,Config,Criterion,Score
Glycine,1,F,Chemical Feasibility,5
Glycine,1,F,Pathway Coherence,5
Glycine,1,F,Environmental Consistency,1
Glycine,1,F,Mechanistic Detail,2
Glycine,1,F,Network Completeness,3
Glycine,1,F,Prebiotic Plausibility,4
Glycine,1,F,Novelty of Reactions,1
Glycine,1,F,Total,21
Glycine,2,A,Chemical Feasibility,9
Glycine,2,A,Pathway Coherence,9
Glycine,2,A,Environmental Consistency,9
Glycine,2,A,Mechanistic Detail,10
Glycine,2,A,Network Completeness,10
Glycine,2,A,Prebiotic Plausibility,9
Glycine,2,A,Novelty of Reactions,8
Glycine,2,A,Total,64
Glycine,2,B,Chemical Feasibility,9
Glycine,2,B,Pathway Coherence,9
Glycine,2,B,Environmental Consistency,9
Glycine,2,B,Mechanistic Detail,9
Glycine,2,B,Network Completeness,8
Glycine,2,B,Prebiotic Plausibility,10
Glycine,2,B,Novelty of Reactions,9
Glycine,2,B,Total,63
Glycine,2,C,Chemical Feasibility,8
Glycine,2,C,Pathway Coherence,8
Glycine,2,C,Environmental Consistency,8
Glycine,2,C,Mechanistic Detail,9
Glycine,2,C,Network Completeness,8
Glycine,2,C,Prebiotic Plausibility,8
Glycine,2,C,Novelty of Reactions,9
Glycine,2,C,Total,58
Glycine,2,D,Chemical Feasibility,9
Glycine,2,D,Pathway Coherence,6
Glycine,2,D,Environmental Consistency,8
Glycine,2,D,Mechanistic Detail,8
Glycine,2,D,Network Completeness,7
Glycine,2,D,Prebiotic Plausibility,8
Glycine,2,D,Novelty of Reactions,9
Glycine,2,D,Total,55
Glycine,2,E,Chemical Feasibility,8
Glycine,2,E,Pathway Coherence,9
Glycine,2,E,Environmental Consistency,9
Glycine,2,E,Mechanistic Detail,8
Glycine,2,E,Network Completeness,9
Glycine,2,E,Prebiotic Plausibility,9
Glycine,2,E,Novelty of Reactions,8
Glycine,2,E,Total,60
Glycine,2,F,Chemical Feasibility,5
Glycine,2,F,Pathway Coherence,5
Glycine,2,F,Environmental Consistency,1
Glycine,2,F,Mechanistic Detail,1
Glycine,2,F,Network Completeness,2
Glycine,2,F,Prebiotic Plausibility,4
Glycine,2,F,Novelty of Reactions,1
Glycine,2,F,Total,19
Glycine,3,A,Chemical Feasibility,9
Glycine,3,A,Pathway Coherence,9
Glycine,3,A,Environmental Consistency,10
Glycine,3,A,Mechanistic Detail,9
Glycine,3,A,Network Completeness,10
Glycine,3,A,Prebiotic Plausibility,9
Glycine,3,A,Novelty of Reactions,8
Glycine,3,A,Total,64
Glycine,3,B,Chemical Feasibility,9
Glycine,3,B,Pathway Coherence,8
Glycine,3,B,Environmental Consistency,9
Glycine,3,B,Mechanistic Detail,9
Glycine,3,B,Network Completeness,8
Glycine,3,B,Prebiotic Plausibility,9
Glycine,3,B,Novelty of Reactions,9
Glycine,3,B,Total,61
Glycine,3,C,Chemical Feasibility,8
Glycine,3,C,Pathway Coherence,8
Glycine,3,C,Environmental Consistency,8
Glycine,3,C,Mechanistic Detail,9
Glycine,3,C,Network Completeness,8
Glycine,3,C,Prebiotic Plausibility,8
Glycine,3,C,Novelty of Reactions,9
Glycine,3,C,Total,58
Glycine,3,D,Chemical Feasibility,7
Glycine,3,D,Pathway Coherence,6
Glycine,3,D,Environmental Consistency,8
Glycine,3,D,Mechanistic Detail,8
Glycine,3,D,Network Completeness,5
Glycine,3,D,Prebiotic Plausibility,6
Glycine,3,D,Novelty of Reactions,8
Glycine,3,D,Total,46
Glycine,3,E,Chemical Feasibility,9
Glycine,3,E,Pathway Coherence,9
Glycine,3,E,Environmental Consistency,9
Glycine,3,E,Mechanistic Detail,9
Glycine,3,E,Network Completeness,9
Glycine,3,E,Prebiotic Plausibility,9
Glycine,3,E,Novelty of Reactions,8
Glycine,3,E,Total,62
Glycine,3,F,Chemical Feasibility,7
Glycine,3,F,Pathway Coherence,6
Glycine,3,F,Environmental Consistency,1
Glycine,3,F,Mechanistic Detail,2
Glycine,3,F,Network Completeness,3
Glycine,3,F,Prebiotic Plausibility,4
Glycine,3,F,Novelty of Reactions,1
Glycine,3,F,Total,24
Glycine,4,A,Chemical Feasibility,8
Glycine,4,A,Pathway Coherence,9
Glycine,4,A,Environmental Consistency,9
Glycine,4,A,Mechanistic Detail,9
Glycine,4,A,Network Completeness,9
Glycine,4,A,Prebiotic Plausibility,8
Glycine,4,A,Novelty of Reactions,9
Glycine,4,A,Total,61
Glycine,4,B,Chemical Feasibility,9
Glycine,4,B,Pathway Coherence,8
Glycine,4,B,Environmental Consistency,9
Glycine,4,B,Mechanistic Detail,9
Glycine,4,B,Network Completeness,8
Glycine,4,B,Prebiotic Plausibility,8
Glycine,4,B,Novelty of Reactions,9
Glycine,4,B,Total,60
Glycine,4,C,Chemical Feasibility,8
Glycine,4,C,Pathway Coherence,8
Glycine,4,C,Environmental Consistency,7
Glycine,4,C,Mechanistic Detail,9
Glycine,4,C,Network Completeness,9
Glycine,4,C,Prebiotic Plausibility,8
Glycine,4,C,Novelty of Reactions,9
Glycine,4,C,Total,58
Glycine,4,D,Chemical Feasibility,9
Glycine,4,D,Pathway Coherence,7
Glycine,4,D,Environmental Consistency,8
Glycine,4,D,Mechanistic Detail,8
Glycine,4,D,Network Completeness,8
Glycine,4,D,Prebiotic Plausibility,5
Glycine,4,D,Novelty of Reactions,9
Glycine,4,D,Total,54
Glycine,4,E,Chemical Feasibility,9
Glycine,4,E,Pathway Coherence,9
Glycine,4,E,Environmental Consistency,9
Glycine,4,E,Mechanistic Detail,9
Glycine,4,E,Network Completeness,9
Glycine,4,E,Prebiotic Plausibility,9
Glycine,4,E,Novelty of Reactions,8
Glycine,4,E,Total,62
Glycine,4,F,Chemical Feasibility,6
Glycine,4,F,Pathway Coherence,5
Glycine,4,F,Environmental Consistency,2
Glycine,4,F,Mechanistic Detail,3
Glycine,4,F,Network Completeness,4
Glycine,4,F,Prebiotic Plausibility,6
Glycine,4,F,Novelty of Reactions,2
Glycine,4,F,Total,28
Glycine,5,A,Chemical Feasibility,9
Glycine,5,A,Pathway Coherence,9
Glycine,5,A,Environmental Consistency,9
Glycine,5,A,Mechanistic Detail,9
Glycine,5,A,Network Completeness,10
Glycine,5,A,Prebiotic Plausibility,9
Glycine,5,A,Novelty of Reactions,9
Glycine,5,A,Total,64
Glycine,5,B,Chemical Feasibility,9
Glycine,5,B,Pathway Coherence,8
Glycine,5,B,Environmental Consistency,9
Glycine,5,B,Mechanistic Detail,9
Glycine,5,B,Network Completeness,7
Glycine,5,B,Prebiotic Plausibility,9
Glycine,5,B,Novelty of Reactions,9
Glycine,5,B,Total,60
Glycine,5,C,Chemical Feasibility,8
Glycine,5,C,Pathway Coherence,7
Glycine,5,C,Environmental Consistency,8
Glycine,5,C,Mechanistic Detail,8
Glycine,5,C,Network Completeness,5
Glycine,5,C,Prebiotic Plausibility,7
Glycine,5,C,Novelty of Reactions,9
Glycine,5,C,Total,52
Glycine,5,D,Chemical Feasibility,7
Glycine,5,D,Pathway Coherence,4
Glycine,5,D,Environmental Consistency,6
Glycine,5,D,Mechanistic Detail,7
Glycine,5,D,Network Completeness,3
Glycine,5,D,Prebiotic Plausibility,4
Glycine,5,D,Novelty of Reactions,7
Glycine,5,D,Total,38
Glycine,5,E,Chemical Feasibility,9
Glycine,5,E,Pathway Coherence,9
Glycine,5,E,Environmental Consistency,9
Glycine,5,E,Mechanistic Detail,8
Glycine,5,E,Network Completeness,9
Glycine,5,E,Prebiotic Plausibility,9
Glycine,5,E,Novelty of Reactions,8
Glycine,5,E,Total,61
Glycine,5,F,Chemical Feasibility,8
Glycine,5,F,Pathway Coherence,7
Glycine,5,F,Environmental Consistency,1
Glycine,5,F,Mechanistic Detail,2
Glycine,5,F,Network Completeness,3
Glycine,5,F,Prebiotic Plausibility,4
Glycine,5,F,Novelty of Reactions,1
Glycine,5,F,Total,26
Histidine,1,A,Chemical Feasibility,7
Histidine,1,A,Pathway Coherence,8
Histidine,1,A,Environmental Consistency,8
Histidine,1,A,Mechanistic Detail,8
Histidine,1,A,Network Completeness,8
Histidine,1,A,Prebiotic Plausibility,7
Histidine,1,A,Novelty of Reactions,6
Histidine,1,A,Total,52
Histidine,1,B,Chemical Feasibility,6
Histidine,1,B,Pathway Coherence,7
Histidine,1,B,Environmental Consistency,8
Histidine,1,B,Mechanistic Detail,8
Histidine,1,B,Network Completeness,8
Histidine,1,B,Prebiotic Plausibility,7
Histidine,1,B,Novelty of Reactions,7
Histidine,1,B,Total,51
Histidine,1,C,Chemical Feasibility,9
Histidine,1,C,Pathway Coherence,9
Histidine,1,C,Environmental Consistency,9
Histidine,1,C,Mechanistic Detail,9
Histidine,1,C,Network Completeness,9
Histidine,1,C,Prebiotic Plausibility,9
Histidine,1,C,Novelty of Reactions,9
Histidine,1,C,Total,63
Histidine,1,D,Chemical Feasibility,8
Histidine,1,D,Pathway Coherence,9
Histidine,1,D,Environmental Consistency,9
Histidine,1,D,Mechanistic Detail,8
Histidine,1,D,Network Completeness,9
Histidine,1,D,Prebiotic Plausibility,8
Histidine,1,D,Novelty of Reactions,10
Histidine,1,D,Total,61
Histidine,1,E,Chemical Feasibility,4
Histidine,1,E,Pathway Coherence,4
Histidine,1,E,Environmental Consistency,1
Histidine,1,E,Mechanistic Detail,2
Histidine,1,E,Network Completeness,3
Histidine,1,E,Prebiotic Plausibility,3
Histidine,1,E,Novelty of Reactions,2
Histidine,1,E,Total,19
Histidine,2,A,Chemical Feasibility,8
Histidine,2,A,Pathway Coherence,8
Histidine,2,A,Environmental Consistency,8
Histidine,2,A,Mechanistic Detail,8
Histidine,2,A,Network Completeness,9
Histidine,2,A,Prebiotic Plausibility,8
Histidine,2,A,Novelty of Reactions,7
Histidine,2,A,Total,56
Histidine,2,B,Chemical Feasibility,7
Histidine,2,B,Pathway Coherence,7
Histidine,2,B,Environmental Consistency,8
Histidine,2,B,Mechanistic Detail,8
Histidine,2,B,Network Completeness,9
Histidine,2,B,Prebiotic Plausibility,8
Histidine,2,B,Novelty of Reactions,8
Histidine,2,B,Total,55
Histidine,2,C,Chemical Feasibility,8
Histidine,2,C,Pathway Coherence,9
Histidine,2,C,Environmental Consistency,9
Histidine,2,C,Mechanistic Detail,9
Histidine,2,C,Network Completeness,9
Histidine,2,C,Prebiotic Plausibility,9
Histidine,2,C,Novelty of Reactions,9
Histidine,2,C,Total,62
Histidine,2,D,Chemical Feasibility,4
Histidine,2,D,Pathway Coherence,7
Histidine,2,D,Environmental Consistency,8
Histidine,2,D,Mechanistic Detail,6
Histidine,2,D,Network Completeness,8
Histidine,2,D,Prebiotic Plausibility,4
Histidine,2,D,Novelty of Reactions,9
Histidine,2,D,Total,46
Histidine,2,E,Chemical Feasibility,6
Histidine,2,E,Pathway Coherence,5
Histidine,2,E,Environmental Consistency,1
Histidine,2,E,Mechanistic Detail,2
Histidine,2,E,Network Completeness,4
Histidine,2,E,Prebiotic Plausibility,4
Histidine,2,E,Novelty of Reactions,2
Histidine,2,E,Total,24
Histidine,3,A,Chemical Feasibility,7
Histidine,3,A,Pathway Coherence,8
Histidine,3,A,Environmental Consistency,8
Histidine,3,A,Mechanistic Detail,8
Histidine,3,A,Network Completeness,9
Histidine,3,A,Prebiotic Plausibility,7
Histidine,3,A,Novelty of Reactions,8
Histidine,3,A,Total,55
Histidine,3,B,Chemical Feasibility,8
Histidine,3,B,Pathway Coherence,9
Histidine,3,B,Environmental Consistency,9
Histidine,3,B,Mechanistic Detail,8
Histidine,3,B,Network Completeness,9
Histidine,3,B,Prebiotic Plausibility,8
Histidine,3,B,Novelty of Reactions,8
Histidine,3,B,Total,59
Histidine,3,C,Chemical Feasibility,8
Histidine,3,C,Pathway Coherence,9
Histidine,3,C,Environmental Consistency,9
Histidine,3,C,Mechanistic Detail,9
Histidine,3,C,Network Completeness,9
Histidine,3,C,Prebiotic Plausibility,8
Histidine,3,C,Novelty of Reactions,9
Histidine,3,C,Total,61
Histidine,3,D,Chemical Feasibility,6
Histidine,3,D,Pathway Coherence,8
Histidine,3,D,Environmental Consistency,8
Histidine,3,D,Mechanistic Detail,7
Histidine,3,D,Network Completeness,8
Histidine,3,D,Prebiotic Plausibility,6
Histidine,3,D,Novelty of Reactions,10
Histidine,3,D,Total,53
Histidine,3,E,Chemical Feasibility,6
Histidine,3,E,Pathway Coherence,5
Histidine,3,E,Environmental Consistency,1
Histidine,3,E,Mechanistic Detail,2
Histidine,3,E,Network Completeness,3
Histidine,3,E,Prebiotic Plausibility,4
Histidine,3,E,Novelty of Reactions,2
Histidine,3,E,Total,23
Histidine,4,A,Chemical Feasibility,8
Histidine,4,A,Pathway Coherence,8
Histidine,4,A,Environmental Consistency,8
Histidine,4,A,Mechanistic Detail,8
Histidine,4,A,Network Completeness,9
Histidine,4,A,Prebiotic Plausibility,8
Histidine,4,A,Novelty of Reactions,6
Histidine,4,A,Total,55
Histidine,4,B,Chemical Feasibility,7
Histidine,4,B,Pathway Coherence,7
Histidine,4,B,Environmental Consistency,8
Histidine,4,B,Mechanistic Detail,8
Histidine,4,B,Network Completeness,8
Histidine,4,B,Prebiotic Plausibility,7
Histidine,4,B,Novelty of Reactions,7
Histidine,4,B,Total,52
Histidine,4,C,Chemical Feasibility,8
Histidine,4,C,Pathway Coherence,9
Histidine,4,C,Environmental Consistency,9
Histidine,4,C,Mechanistic Detail,9
Histidine,4,C,Network Completeness,9
Histidine,4,C,Prebiotic Plausibility,9
Histidine,4,C,Novelty of Reactions,9
Histidine,4,C,Total,62
Histidine,4,D,Chemical Feasibility,6
Histidine,4,D,Pathway Coherence,8
Histidine,4,D,Environmental Consistency,8
Histidine,4,D,Mechanistic Detail,7
Histidine,4,D,Network Completeness,8
Histidine,4,D,Prebiotic Plausibility,7
Histidine,4,D,Novelty of Reactions,10
Histidine,4,D,Total,54
Histidine,4,E,Chemical Feasibility,5
Histidine,4,E,Pathway Coherence,5
Histidine,4,E,Environmental Consistency,1
Histidine,4,E,Mechanistic Detail,2
Histidine,4,E,Network Completeness,4
Histidine,4,E,Prebiotic Plausibility,3
Histidine,4,E,Novelty of Reactions,1
Histidine,4,E,Total,21
Histidine,5,A,Chemical Feasibility,8
Histidine,5,A,Pathway Coherence,7
Histidine,5,A,Environmental Consistency,9
Histidine,5,A,Mechanistic Detail,8
Histidine,5,A,Network Completeness,8
Histidine,5,A,Prebiotic Plausibility,8
Histidine,5,A,Novelty of Reactions,7
Histidine,5,A,Total,55
Histidine,5,B,Chemical Feasibility,7
Histidine,5,B,Pathway Coherence,5
Histidine,5,B,Environmental Consistency,8
Histidine,5,B,Mechanistic Detail,7
Histidine,5,B,Network Completeness,7
Histidine,5,B,Prebiotic Plausibility,7
Histidine,5,B,Novelty of Reactions,6
Histidine,5,B,Total,47
Histidine,5,C,Chemical Feasibility,8
Histidine,5,C,Pathway Coherence,9
Histidine,5,C,Environmental Consistency,9
Histidine,5,C,Mechanistic Detail,9
Histidine,5,C,Network Completeness,9
Histidine,5,C,Prebiotic Plausibility,9
Histidine,5,C,Novelty of Reactions,8
Histidine,5,C,Total,61
Histidine,5,D,Chemical Feasibility,7
Histidine,5,D,Pathway Coherence,9
Histidine,5,D,Environmental Consistency,9
Histidine,5,D,Mechanistic Detail,7
Histidine,5,D,Network Completeness,9
Histidine,5,D,Prebiotic Plausibility,7
Histidine,5,D,Novelty of Reactions,10
Histidine,5,D,Total,58
Histidine,5,E,Chemical Feasibility,5
Histidine,5,E,Pathway Coherence,4
Histidine,5,E,Environmental Consistency,2
Histidine,5,E,Mechanistic Detail,2
Histidine,5,E,Network Completeness,3
Histidine,5,E,Prebiotic Plausibility,4
Histidine,5,E,Novelty of Reactions,2
Histidine,5,E,Total,22
Isoleucine,1,A,Chemical Feasibility,5
Isoleucine,1,A,Pathway Coherence,6
Isoleucine,1,A,Environmental Consistency,9
Isoleucine,1,A,Mechanistic Detail,6
Isoleucine,1,A,Network Completeness,6
Isoleucine,1,A,Prebiotic Plausibility,8
Isoleucine,1,A,Novelty of Reactions,7
Isoleucine,1,A,Total,47
Isoleucine,2,A,Chemical Feasibility,6
Isoleucine,2,A,Pathway Coherence,6
Isoleucine,2,A,Environmental Consistency,9
Isoleucine,2,A,Mechanistic Detail,5
Isoleucine,2,A,Network Completeness,7
Isoleucine,2,A,Prebiotic Plausibility,9
Isoleucine,2,A,Novelty of Reactions,8
Isoleucine,2,A,Total,50
Isoleucine,3,A,Chemical Feasibility,7
Isoleucine,3,A,Pathway Coherence,7
Isoleucine,3,A,Environmental Consistency,9
Isoleucine,3,A,Mechanistic Detail,6
Isoleucine,3,A,Network Completeness,7
Isoleucine,3,A,Prebiotic Plausibility,9
Isoleucine,3,A,Novelty of Reactions,8
Isoleucine,3,A,Total,53
Isoleucine,4,A,Chemical Feasibility,5
Isoleucine,4,A,Pathway Coherence,6
Isoleucine,4,A,Environmental Consistency,8
Isoleucine,4,A,Mechanistic Detail,4
Isoleucine,4,A,Network Completeness,5
Isoleucine,4,A,Prebiotic Plausibility,7
Isoleucine,4,A,Novelty of Reactions,7
Isoleucine,4,A,Total,42
Isoleucine,5,A,Chemical Feasibility,7
Isoleucine,5,A,Pathway Coherence,8
Isoleucine,5,A,Environmental Consistency,8
Isoleucine,5,A,Mechanistic Detail,6
Isoleucine,5,A,Network Completeness,8
Isoleucine,5,A,Prebiotic Plausibility,9
Isoleucine,5,A,Novelty of Reactions,8
Isoleucine,5,A,Total,54
L-Alanine,1,A,Chemical Feasibility,9
L-Alanine,1,A,Pathway Coherence,9
L-Alanine,1,A,Environmental Consistency,9
L-Alanine,1,A,Mechanistic Detail,9
L-Alanine,1,A,Network Completeness,10
L-Alanine,1,A,Prebiotic Plausibility,9
L-Alanine,1,A,Novelty of Reactions,9
L-Alanine,1,A,Total,64
L-Alanine,1,B,Chemical Feasibility,9
L-Alanine,1,B,Pathway Coherence,9
L-Alanine,1,B,Environmental Consistency,9
L-Alanine,1,B,Mechanistic Detail,8
L-Alanine,1,B,Network Completeness,8
L-Alanine,1,B,Prebiotic Plausibility,9
L-Alanine,1,B,Novelty of Reactions,8
L-Alanine,1,B,Total,60
L-Alanine,1,C,Chemical Feasibility,9
L-Alanine,1,C,Pathway Coherence,10
L-Alanine,1,C,Environmental Consistency,9
L-Alanine,1,C,Mechanistic Detail,9
L-Alanine,1,C,Network Completeness,9
L-Alanine,1,C,Prebiotic Plausibility,10
L-Alanine,1,C,Novelty of Reactions,10
L-Alanine,1,C,Total,66
L-Alanine,1,D,Chemical Feasibility,8
L-Alanine,1,D,Pathway Coherence,7
L-Alanine,1,D,Environmental Consistency,8
L-Alanine,1,D,Mechanistic Detail,8
L-Alanine,1,D,Network Completeness,7
L-Alanine,1,D,Prebiotic Plausibility,8
L-Alanine,1,D,Novelty of Reactions,9
L-Alanine,1,D,Total,55
L-Alanine,1,E,Chemical Feasibility,7
L-Alanine,1,E,Pathway Coherence,8
L-Alanine,1,E,Environmental Consistency,8
L-Alanine,1,E,Mechanistic Detail,8
L-Alanine,1,E,Network Completeness,8
L-Alanine,1,E,Prebiotic Plausibility,8
L-Alanine,1,E,Novelty of Reactions,7
L-Alanine,1,E,Total,54
L-Alanine,1,F,Chemical Feasibility,3
L-Alanine,1,F,Pathway Coherence,5
L-Alanine,1,F,Environmental Consistency,1
L-Alanine,1,F,Mechanistic Detail,1
L-Alanine,1,F,Network Completeness,2
L-Alanine,1,F,Prebiotic Plausibility,3
L-Alanine,1,F,Novelty of Reactions,1
L-Alanine,1,F,Total,16
L-Alanine,2,A,Chemical Feasibility,9
L-Alanine,2,A,Pathway Coherence,9
L-Alanine,2,A,Environmental Consistency,9
L-Alanine,2,A,Mechanistic Detail,8
L-Alanine,2,A,Network Completeness,10
L-Alanine,2,A,Prebiotic Plausibility,9
L-Alanine,2,A,Novelty of Reactions,8
L-Alanine,2,A,Total,62
L-Alanine,2,B,Chemical Feasibility,9
L-Alanine,2,B,Pathway Coherence,9
L-Alanine,2,B,Environmental Consistency,9
L-Alanine,2,B,Mechanistic Detail,8
L-Alanine,2,B,Network Completeness,8
L-Alanine,2,B,Prebiotic Plausibility,9
L-Alanine,2,B,Novelty of Reactions,8
L-Alanine,2,B,Total,60
L-Alanine,2,C,Chemical Feasibility,9
L-Alanine,2,C,Pathway Coherence,9
L-Alanine,2,C,Environmental Consistency,9
L-Alanine,2,C,Mechanistic Detail,10
L-Alanine,2,C,Network Completeness,8
L-Alanine,2,C,Prebiotic Plausibility,10
L-Alanine,2,C,Novelty of Reactions,10
L-Alanine,2,C,Total,65
L-Alanine,2,D,Chemical Feasibility,8
L-Alanine,2,D,Pathway Coherence,8
L-Alanine,2,D,Environmental Consistency,8
L-Alanine,2,D,Mechanistic Detail,8
L-Alanine,2,D,Network Completeness,7
L-Alanine,2,D,Prebiotic Plausibility,9
L-Alanine,2,D,Novelty of Reactions,9
L-Alanine,2,D,Total,57
L-Alanine,2,E,Chemical Feasibility,8
L-Alanine,2,E,Pathway Coherence,8
L-Alanine,2,E,Environmental Consistency,8
L-Alanine,2,E,Mechanistic Detail,7
L-Alanine,2,E,Network Completeness,8
L-Alanine,2,E,Prebiotic Plausibility,8
L-Alanine,2,E,Novelty of Reactions,7
L-Alanine,2,E,Total,54
L-Alanine,2,F,Chemical Feasibility,3
L-Alanine,2,F,Pathway Coherence,4
L-Alanine,2,F,Environmental Consistency,1
L-Alanine,2,F,Mechanistic Detail,1
L-Alanine,2,F,Network Completeness,3
L-Alanine,2,F,Prebiotic Plausibility,3
L-Alanine,2,F,Novelty of Reactions,1
L-Alanine,2,F,Total,16
L-Alanine,3,A,Chemical Feasibility,9
L-Alanine,3,A,Pathway Coherence,9
L-Alanine,3,A,Environmental Consistency,9
L-Alanine,3,A,Mechanistic Detail,8
L-Alanine,3,A,Network Completeness,10
L-Alanine,3,A,Prebiotic Plausibility,9
L-Alanine,3,A,Novelty of Reactions,8
L-Alanine,3,A,Total,62
L-Alanine,3,B,Chemical Feasibility,9
L-Alanine,3,B,Pathway Coherence,9
L-Alanine,3,B,Environmental Consistency,9
L-Alanine,3,B,Mechanistic Detail,8
L-Alanine,3,B,Network Completeness,8
L-Alanine,3,B,Prebiotic Plausibility,9
L-Alanine,3,B,Novelty of Reactions,8
L-Alanine,3,B,Total,60
L-Alanine,3,C,Chemical Feasibility,9
L-Alanine,3,C,Pathway Coherence,9
L-Alanine,3,C,Environmental Consistency,9
L-Alanine,3,C,Mechanistic Detail,9
L-Alanine,3,C,Network Completeness,9
L-Alanine,3,C,Prebiotic Plausibility,10
L-Alanine,3,C,Novelty of Reactions,10
L-Alanine,3,C,Total,65
L-Alanine,3,D,Chemical Feasibility,8
L-Alanine,3,D,Pathway Coherence,7
L-Alanine,3,D,Environmental Consistency,8
L-Alanine,3,D,Mechanistic Detail,7
L-Alanine,3,D,Network Completeness,7
L-Alanine,3,D,Prebiotic Plausibility,8
L-Alanine,3,D,Novelty of Reactions,8
L-Alanine,3,D,Total,53
L-Alanine,3,E,Chemical Feasibility,8
L-Alanine,3,E,Pathway Coherence,8
L-Alanine,3,E,Environmental Consistency,8
L-Alanine,3,E,Mechanistic Detail,8
L-Alanine,3,E,Network Completeness,8
L-Alanine,3,E,Prebiotic Plausibility,8
L-Alanine,3,E,Novelty of Reactions,7
L-Alanine,3,E,Total,55
L-Alanine,3,F,Chemical Feasibility,3
L-Alanine,3,F,Pathway Coherence,4
L-Alanine,3,F,Environmental Consistency,1
L-Alanine,3,F,Mechanistic Detail,1
L-Alanine,3,F,Network Completeness,2
L-Alanine,3,F,Prebiotic Plausibility,3
L-Alanine,3,F,Novelty of Reactions,1
L-Alanine,3,F,Total,15
L-Alanine,4,A,Chemical Feasibility,9
L-Alanine,4,A,Pathway Coherence,9
L-Alanine,4,A,Environmental Consistency,9
L-Alanine,4,A,Mechanistic Detail,9
L-Alanine,4,A,Network Completeness,9
L-Alanine,4,A,Prebiotic Plausibility,9
L-Alanine,4,A,Novelty of Reactions,8
L-Alanine,4,A,Total,62
L-Alanine,4,B,Chemical Feasibility,9
L-Alanine,4,B,Pathway Coherence,9
L-Alanine,4,B,Environmental Consistency,8
L-Alanine,4,B,Mechanistic Detail,9
L-Alanine,4,B,Network Completeness,9
L-Alanine,4,B,Prebiotic Plausibility,9
L-Alanine,4,B,Novelty of Reactions,9
L-Alanine,4,B,Total,62
L-Alanine,4,C,Chemical Feasibility,9
L-Alanine,4,C,Pathway Coherence,8
L-Alanine,4,C,Environmental Consistency,9
L-Alanine,4,C,Mechanistic Detail,10
L-Alanine,4,C,Network Completeness,8
L-Alanine,4,C,Prebiotic Plausibility,10
L-Alanine,4,C,Novelty of Reactions,10
L-Alanine,4,C,Total,64
L-Alanine,4,D,Chemical Feasibility,7
L-Alanine,4,D,Pathway Coherence,5
L-Alanine,4,D,Environmental Consistency,8
L-Alanine,4,D,Mechanistic Detail,8
L-Alanine,4,D,Network Completeness,4
L-Alanine,4,D,Prebiotic Plausibility,7
L-Alanine,4,D,Novelty of Reactions,7
L-Alanine,4,D,Total,46
L-Alanine,4,E,Chemical Feasibility,8
L-Alanine,4,E,Pathway Coherence,8
L-Alanine,4,E,Environmental Consistency,9
L-Alanine,4,E,Mechanistic Detail,8
L-Alanine,4,E,Network Completeness,8
L-Alanine,4,E,Prebiotic Plausibility,8
L-Alanine,4,E,Novelty of Reactions,7
L-Alanine,4,E,Total,56
L-Alanine,4,F,Chemical Feasibility,4
L-Alanine,4,F,Pathway Coherence,5
L-Alanine,4,F,Environmental Consistency,1
L-Alanine,4,F,Mechanistic Detail,1
L-Alanine,4,F,Network Completeness,2
L-Alanine,4,F,Prebiotic Plausibility,3
L-Alanine,4,F,Novelty of Reactions,1
L-Alanine,4,F,Total,17
L-Alanine,5,A,Chemical Feasibility,9
L-Alanine,5,A,Pathway Coherence,9
L-Alanine,5,A,Environmental Consistency,9
L-Alanine,5,A,Mechanistic Detail,9
L-Alanine,5,A,Network Completeness,10
L-Alanine,5,A,Prebiotic Plausibility,9
L-Alanine,5,A,Novelty of Reactions,9
L-Alanine,5,A,Total,64
L-Alanine,5,B,Chemical Feasibility,8
L-Alanine,5,B,Pathway Coherence,8
L-Alanine,5,B,Environmental Consistency,8
L-Alanine,5,B,Mechanistic Detail,8
L-Alanine,5,B,Network Completeness,8
L-Alanine,5,B,Prebiotic Plausibility,8
L-Alanine,5,B,Novelty of Reactions,7
L-Alanine,5,B,Total,55
L-Alanine,5,C,Chemical Feasibility,9
L-Alanine,5,C,Pathway Coherence,9
L-Alanine,5,C,Environmental Consistency,9
L-Alanine,5,C,Mechanistic Detail,9
L-Alanine,5,C,Network Completeness,9
L-Alanine,5,C,Prebiotic Plausibility,10
L-Alanine,5,C,Novelty of Reactions,10
L-Alanine,5,C,Total,65
L-Alanine,5,D,Chemical Feasibility,7
L-Alanine,5,D,Pathway Coherence,6
L-Alanine,5,D,Environmental Consistency,8
L-Alanine,5,D,Mechanistic Detail,7
L-Alanine,5,D,Network Completeness,5
L-Alanine,5,D,Prebiotic Plausibility,7
L-Alanine,5,D,Novelty of Reactions,8
L-Alanine,5,D,Total,48
L-Alanine,5,E,Chemical Feasibility,8
L-Alanine,5,E,Pathway Coherence,8
L-Alanine,5,E,Environmental Consistency,8
L-Alanine,5,E,Mechanistic Detail,8
L-Alanine,5,E,Network Completeness,8
L-Alanine,5,E,Prebiotic Plausibility,8
L-Alanine,5,E,Novelty of Reactions,6
L-Alanine,5,E,Total,54
L-Alanine,5,F,Chemical Feasibility,5
L-Alanine,5,F,Pathway Coherence,6
L-Alanine,5,F,Environmental Consistency,2
L-Alanine,5,F,Mechanistic Detail,2
L-Alanine,5,F,Network Completeness,3
L-Alanine,5,F,Prebiotic Plausibility,5
L-Alanine,5,F,Novelty of Reactions,1
